NAME OF FACILITY,STAR RATING,TYPE OF FACILITY,OWNERSHIP,REG,YEAR,COU,SOURCE TAB,SN
ST.VICENT,2,,,,,,PWANI,4
SUN,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),37
SUNDARYA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),162
SUNGWI,0,,,,,,PWANI,
SUNUKA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
TAG MABIBO,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),118
TAIFO DISP,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),95
TAIFO MBEZI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),102
TAIFO MWEMBECHAI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),39
TAIFO NIKI,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),128
TAIFO TEGETA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),145
TALAWANDA,0,,,,,,PWANI,
TANDALE,4,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),33
TAPIKA,0,,,,,,PWANI,
TAWI DISPENSARY,0,,,,,,PWANI,
TAYMA LUGOBA,0,,,,,,PWANI,
TAYMA TANDALE,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),120
TEGEMEO,0,,,,,,PWANI,
TEGETA,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),131
TEGETA MISSION,1,DISPENSARIES,FBO,,,,DAR ES SALAAM (KNONDONI),132
TIP TOP,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),44
TITYE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
TKS,0,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),114
TM,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),115
TMJ,2,HOSPITALS,PRIVATE,,,,DAR ES SALAAM (KNONDONI),6
TMS MBEZI,1,HEALTH CENTRES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),13
TUKAMISASA,0,,,,,,PWANI,
TUMAINI DISPENSARY,1,DISPENSARIES,PRIVATE,4 KIG,2015,6 KIG DC,KIGOMA,
TUMAINI GROUP,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),55
TWABAGONDOZI,1,DISPENSARIES,PUBLIC,4 KIG,2015,5 KIB DC,KIGOMA,
TWASALIE,0,,,,,,PWANI,
UBENA ESTASTE,2,,,,,,PWANI,
UBENA PRISON,1,,,,,,PWANI,
UBENA ZOMOZI,0,,,,,,PWANI,
UDSM HC,2,HEALTH CENTRES,PARASTATAL,,,,DAR ES SALAAM (KNONDONI),2
UJIJI HEALTH CENTRE,1,HEALTH CENTRES,PUBLIC,4 KIG,2015,7 KIG MC,KIGOMA,
ULTIMATE SECURITY,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),82
UNUNIO,3,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),127
UPENDO DISPENSARY,1,DISPENSARIES,PRIVATE,4 KIG,2015,4 KAS TC,KIGOMA,
UPENDO DISPENSARY,0,DISPENSARIES,PRIVATE,4 KIG,2015,2 KAK DC,KIGOMA,
UPENDO FOUNATION,1,HEALTH CENTRES,PRIVATE,4 KIG,2015,7 KIG MC,KIGOMA,
UPENDO IKUNDA,2,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),47
UPONDA DISPENSARY,0,,,,,,PWANI,
UTENDE DISPENSARY,1,,,,,,PWANI,
UTETE DC HOSPITAL,1,,,,,,PWANI,3
UTUNGE,0,,,,,,PWANI,
UVINZA DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,8 UVI DC,KIGOMA,
UVINZA HEALTH CENTRE,0,HEALTH CENTRES,UNKNOWN,4 KIG,2015,8 UVI DC,KIGOMA,
UZIMA MISSION,1,,,,,,PWANI,
VIANZI DISPENSARY,1,,,,,,PWANI,
VIGWAZA DISP.,1,,,,,,PWANI,
VIHINGO,0,,,,,,PWANI,
VIJANA HOSTEL,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),76
VIKAWE,0,,,,,,PWANI,
VIKINDU DISPENSARY,1,,,,,,PWANI,
VIKUGE,0,,,,,,PWANI,
VIKUMBURU,0,,,,,,PWANI,
VISEZI DISPENSARY,1,,,,,,PWANI,
VISIGA DISPENSARY,1,,,,,,PWANI,
VISIGA SEMINARY,0,,,,,,PWANI,
VIZIWAZIWA,1,,,,,,PWANI,
WAZO,2,DISPENSARIES,LGA,,,,DAR ES SALAAM (KNONDONI),70
WEMA,1,DISPENSARIES,PRIVATE,,,,DAR ES SALAAM (KNONDONI),103
YOMBO,2,,,,,,PWANI,
ZASHE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,6 KIG DC,KIGOMA,
ZEGERO,0,,,,,,PWANI,
ZEZE DISPENSARY,0,DISPENSARIES,PUBLIC,4 KIG,2015,3 KAS DC,KIGOMA,
ZINGA,1,,,,,,PWANI,
